"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"164","SMARCA4","KMT2D",0.000405664443936974,1.84884190295117,5324,317,48,436,0.000718244412069714,"Co_Occurence","KMT2D, SMARCA4","48/753"
"165","EPHA5","SMARCA4",0.000491067648945949,1.86534382168837,5354,440,44,287,0.000864555719975264,"Co_Occurence","EPHA5, SMARCA4","44/727"
"166","SMARCA4","NTRK3",0.000506365411111761,1.89005700587039,5371,270,42,442,0.000886494067072412,"Co_Occurence","NTRK3, SMARCA4","42/712"
"167","KMT2C","KEAP1",0.000516682065875275,1.67977327429189,5009,792,68,256,0.00089951613139846,"Co_Occurence","KEAP1, KMT2C","68/1048"
"168","STK11","RB1",0.000545466017911974,0.504659369765243,4903,274,26,922,0.000944366374501342,"Mutually_Exclusive","RB1, STK11","26/1196"
"169","ATM","NF1",0.000551712918335345,1.72657604455523,5244,403,56,422,0.000949918936527799,"Co_Occurence","ATM, NF1","56/825"
"170","RB1","EGFR",0.000594363649337254,1.52457608521487,3984,1841,124,176,0.00101774597489256,"Co_Occurence","EGFR, RB1","124/2017"
"171","SETD2","SMARCA4",0.000662137823709306,1.81823987663857,5340,439,45,301,0.00112761890958669,"Co_Occurence","SETD2, SMARCA4","45/740"
"172","KMT2C","ARID1A",0.000692721720679253,1.93675592242855,5439,362,37,287,0.00117330914749196,"Co_Occurence","ARID1A, KMT2C","37/649"
"173","KMT2C","KMT2D",0.00101485250428691,1.937241909786,5470,331,34,290,0.00170965718377175,"Co_Occurence","KMT2C, KMT2D","34/621"
"174","ATRX","RBM10",0.00117493531335833,1.6746613549489,5131,689,56,249,0.00196872539101597,"Co_Occurence","ATRX, RBM10","56/938"
"175","RB1","FAT1",0.00120441535676652,1.9192669285555,5450,375,35,265,0.00200735892794421,"Co_Occurence","FAT1, RB1","35/640"
"176","ARID1A","NTRK3",0.0013280551724535,1.89128474041662,5449,277,35,364,0.00220168297820541,"Co_Occurence","ARID1A, NTRK3","35/641"
"177","NF1","SMARCA4",0.00153551549970192,1.66173767933105,5237,429,55,404,0.0025321825522789,"Co_Occurence","NF1, SMARCA4","55/833"
"178","KMT2C","BRAF",0.00161007087918696,1.94751479749151,5492,309,32,292,0.00264119238711772,"Co_Occurence","BRAF, KMT2C","32/601"
