"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"54","NAV3","TTN",4.10309638734271e-09,3.55611889544473,279,165,78,37,1.92814679856331e-08,"Co_Occurence","NAV3, TTN","78/202"
"55","ZNF536","COL11A1",5.29407101694509e-09,4.01448469656717,381,68,46,64,2.45095880414125e-08,"Co_Occurence","COL11A1, ZNF536","46/132"
"56","XIRP2","MUC16",6.27507505748659e-09,3.2359003474269,283,142,83,51,2.83224196308819e-08,"Co_Occurence","MUC16, XIRP2","83/193"
"57","ZFHX4","LRP1B",6.29890612590812e-09,3.05320193384968,290,97,87,85,2.83224196308819e-08,"Co_Occurence","LRP1B, ZFHX4","87/182"
"58","NAV3","RYR2",6.94164335865091e-09,3.48586767200249,314,130,68,47,3.07696957387008e-08,"Co_Occurence","NAV3, RYR2","68/177"
"59","RYR2","TP53",7.20887758353786e-09,2.87363328663193,215,146,131,67,3.13605777981696e-08,"Co_Occurence","RYR2, TP53","131/213"
"60","RYR2","TNR",7.27565404917532e-09,3.82162028562104,325,36,59,139,3.13605777981696e-08,"Co_Occurence","RYR2, TNR","59/175"
"61","TTN","ANK2",8.23097565838753e-09,3.6735715417083,283,33,73,170,3.45259046073304e-08,"Co_Occurence","ANK2, TTN","73/203"
"62","TTN","FAT3",8.23097565838753e-09,3.6735715417083,283,33,73,170,3.45259046073304e-08,"Co_Occurence","FAT3, TTN","73/203"
"63","PCDH15","MUC16",1.08976350681199e-08,3.65321784514477,300,159,66,34,4.51061054144038e-08,"Co_Occurence","MUC16, PCDH15","66/193"
"64","LRP1B","CSMD3",1.17565258889236e-08,2.88825657540679,264,111,101,83,4.80250240560604e-08,"Co_Occurence","CSMD3, LRP1B","101/194"
"65","RYR2","MUC17",2.21539400362063e-08,3.59869008064695,323,38,59,139,8.93304033717997e-08,"Co_Occurence","MUC17, RYR2","59/177"
"66","ZNF536","USH2A",2.39726414373469e-08,3.4699098311929,340,109,58,52,9.54324897983558e-08,"Co_Occurence","USH2A, ZNF536","58/161"
"67","MUC16","SPTA1",2.77811998008191e-08,3.16993940019139,287,47,77,148,1.09202829405736e-07,"Co_Occurence","MUC16, SPTA1","77/195"
"68","LRP1B","XIRP2",3.1056888388917e-08,3.10459323747991,312,63,71,113,1.19634009246605e-07,"Co_Occurence","LRP1B, XIRP2","71/176"
"69","XIRP2","TNR",3.12005496115145e-08,3.78097196302589,375,50,45,89,1.19634009246605e-07,"Co_Occurence","TNR, XIRP2","45/139"
"70","APOB","COL11A1",3.42543404970749e-08,3.88025002190698,387,72,42,58,1.28197382099831e-07,"Co_Occurence","APOB, COL11A1","42/130"
"71","CSMD1","COL11A1",3.42543404970749e-08,3.88025002190698,387,72,42,58,1.28197382099831e-07,"Co_Occurence","COL11A1, CSMD1","42/130"
"72","PCDH15","ZFHX4",3.67420615767632e-08,3.56305531314999,342,117,55,45,1.35880405239509e-07,"Co_Occurence","PCDH15, ZFHX4","55/162"
"73","COL11A1","USH2A",3.98246230864605e-08,3.33878628727452,337,108,59,55,1.4555783291835e-07,"Co_Occurence","COL11A1, USH2A","59/163"
"74","NAV3","COL11A1",4.20043156223414e-08,3.67562282187696,376,68,46,69,1.51749695167419e-07,"Co_Occurence","COL11A1, NAV3","46/137"
"75","COL11A1","LRP1B",4.81478209403438e-08,3.29971705016814,324,121,63,51,1.71956503358371e-07,"Co_Occurence","COL11A1, LRP1B","63/172"
"76","APOB","SPTA1",5.04659632912494e-08,3.71143547046977,379,80,44,56,1.78199022921079e-07,"Co_Occurence","APOB, SPTA1","44/136"
"77","NAV3","USH2A",5.21333367164498e-08,3.26964354624779,336,108,59,56,1.82029806970845e-07,"Co_Occurence","NAV3, USH2A","59/164"
"78","ZNF536","RYR2",5.93978624114425e-08,3.26293428291225,315,134,64,46,2.05103116061612e-07,"Co_Occurence","RYR2, ZNF536","64/180"
"79","FLG","TTN",6.20353303095886e-08,3.03849249615508,270,160,83,46,2.11869297505426e-07,"Co_Occurence","FLG, TTN","83/206"
"80","ZFHX4","NAV3",6.67115716051737e-08,3.22595263809688,332,55,60,112,2.25376931098561e-07,"Co_Occurence","NAV3, ZFHX4","60/167"
"81","PCDH15","CSMD1",8.09209166484241e-08,3.91226358106777,397,62,38,62,2.70457609119064e-07,"Co_Occurence","CSMD1, PCDH15","38/124"
"82","COL11A1","TTN",8.86243241554398e-08,3.16396977173878,277,168,75,39,2.93069855011375e-07,"Co_Occurence","COL11A1, TTN","75/207"
"83","ZFHX4","TNR",9.09323462636422e-08,3.45768273524169,344,43,52,120,2.975534890826e-07,"Co_Occurence","TNR, ZFHX4","52/163"
"84","MUC17","MUC16",9.66985953966009e-08,3.42332355220237,300,162,63,34,3.13143119807645e-07,"Co_Occurence","MUC16, MUC17","63/196"
"85","APOB","CSMD3",1.00998871424567e-07,3.35299553721159,309,150,62,38,3.23714331488999e-07,"Co_Occurence","APOB, CSMD3","62/188"
"86","MUC17","ZFHX4",1.03596247369673e-07,3.46290487732501,343,119,53,44,3.28668297492618e-07,"Co_Occurence","MUC17, ZFHX4","53/163"
"87","SPTA1","CSMD3",1.07417264950258e-07,3.04151195055746,296,139,73,51,3.37365781878953e-07,"Co_Occurence","CSMD3, SPTA1","73/190"
"88","XIRP2","TP53",1.24320950446527e-07,2.9651366658462,241,184,93,41,3.86570119547659e-07,"Co_Occurence","TP53, XIRP2","93/225"
"89","RYR2","APOB",1.28463145418829e-07,3.30503525819928,320,41,59,139,3.95514610279645e-07,"Co_Occurence","APOB, RYR2","59/180"
"90","ADAMTS12","TTN",1.35395738184497e-07,3.42054925052658,285,177,66,31,4.12791884708835e-07,"Co_Occurence","ADAMTS12, TTN","66/208"
"91","ZFHX4","SPTA1",1.40270701080677e-07,3.08179327028723,326,61,63,109,4.23522648190455e-07,"Co_Occurence","SPTA1, ZFHX4","63/170"
"92","FLG","TP53",1.47192996588607e-07,2.99284356923418,243,187,90,39,4.40170444343921e-07,"Co_Occurence","FLG, TP53","90/226"
