"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"86","CSMD3","USH2A",0.000451050400596104,4.05722490312449,231,33,14,24,0.00143099746382013,"Co_Occurence","CSMD3, USH2A","14/57"
"87","CSMD1","NEB",0.000470270387461507,7.59967312336141,264,15,7,16,0.0014769798601178,"Co_Occurence","CSMD1, NEB","7/31"
"88","CSMD1","PCLO",0.000495654255357683,6.48036887504384,258,21,8,15,0.00152602911132292,"Co_Occurence","CSMD1, PCLO","8/36"
"89","PRDM9","PCLO",0.000495654255357683,6.48036887504384,258,21,8,15,0.00152602911132292,"Co_Occurence","PCLO, PRDM9","8/36"
"90","NEB","RYR2",0.000506809869500971,5.42620111948077,243,37,10,12,0.0015451520411615,"Co_Occurence","NEB, RYR2","10/49"
"91","USH2A","XIRP2",0.000534831776461647,4.48201240601799,237,18,12,35,0.00157384972390792,"Co_Occurence","USH2A, XIRP2","12/53"
"92","FAT3","USH2A",0.000540981333862776,4.85108734442991,240,36,11,15,0.00157384972390792,"Co_Occurence","FAT3, USH2A","11/51"
"93","MUC17","USH2A",0.000540981333862776,4.85108734442991,240,36,11,15,0.00157384972390792,"Co_Occurence","MUC17, USH2A","11/51"
"94","CSMD3","ANK2",0.000548994886278032,5.14491188868725,247,17,10,28,0.00157384972390792,"Co_Occurence","ANK2, CSMD3","10/45"
"95","CSMD3","SPTA1",0.000548994886278032,5.14491188868725,247,17,10,28,0.00157384972390792,"Co_Occurence","CSMD3, SPTA1","10/45"
"96","FLG","TTN",0.000550847202658682,3.6351573594097,215,50,17,20,0.00157384972390792,"Co_Occurence","FLG, TTN","17/70"
"97","SI","ANK2",0.000551476943257333,6.32093754962254,258,19,8,17,0.00157384972390792,"Co_Occurence","ANK2, SI","8/36"
"98","NEB","TTN",0.000577826454461891,4.8747132930759,225,55,12,10,0.00162091832511854,"Co_Occurence","NEB, TTN","12/65"
"99","NEB","ZFHX4",0.000578343658402294,5.71568252670393,250,30,9,13,0.00162091832511854,"Co_Occurence","NEB, ZFHX4","9/43"
"100","KRAS","FLG",0.000603597278840728,4.6373253652077,243,26,11,22,0.00167665910789091,"Co_Occurence","FLG, KRAS","11/48"
"101","USH2A","RYR2",0.000617334444539412,3.70810074682518,224,31,16,31,0.00169970937373186,"Co_Occurence","RYR2, USH2A","16/62"
"102","CTNND2","KRAS",0.000626624336904297,5.50703819962571,252,24,9,17,0.00171021926010998,"Co_Occurence","CTNND2, KRAS","9/41"
"103","SPTA1","MUC16",0.000653783706507565,4.67885871634837,240,35,11,16,0.00176889530981484,"Co_Occurence","MUC16, SPTA1","11/51"
"104","ZFHX4","SPTA1",0.000696216881671821,4.94900440422048,246,17,10,29,0.00186753455384072,"Co_Occurence","SPTA1, ZFHX4","10/46"
"105","PCLO","EGFR",0.000734079822546249,0.210840578796379,137,136,5,24,0.00195233995358045,"Mutually_Exclusive","EGFR, PCLO","5/160"
"106","EGFR","CTNND2",0.000764609317481486,0.185362278881047,139,22,4,137,0.00201637478238789,"Mutually_Exclusive","CTNND2, EGFR","4/159"
"107","AHNAK2","ZNF536",0.000863015842688228,6.66421825854485,262,16,7,17,0.00223258446720821,"Co_Occurence","AHNAK2, ZNF536","7/33"
"108","TTN","USH2A",0.000866587163490495,3.26233480826234,208,27,20,47,0.00223258446720821,"Co_Occurence","TTN, USH2A","20/74"
"109","ANK2","KRAS",0.000868028840850551,5.18337686405216,251,24,9,18,0.00223258446720821,"Co_Occurence","ANK2, KRAS","9/42"
"110","AHNAK2","XIRP2",0.000899230180087507,5.7605000777722,256,22,8,16,0.00229395454103956,"Co_Occurence","AHNAK2, XIRP2","8/38"
"111","LRP1B","KRAS",0.000988047937096593,4.61428067618544,246,23,10,23,0.00250012129832134,"Co_Occurence","KRAS, LRP1B","10/46"
"112","PCLO","CSMD3",0.0010779699822594,4.57020553666991,245,28,10,19,0.00270480639809004,"Co_Occurence","CSMD3, PCLO","10/47"
"113","FAT3","NEB",0.00109490562994685,6.33944209474037,261,15,7,19,0.00270480639809004,"Co_Occurence","FAT3, NEB","7/34"
"114","MUC17","NEB",0.00109490562994685,6.33944209474037,261,15,7,19,0.00270480639809004,"Co_Occurence","MUC17, NEB","7/34"
"115","XIRP2","FLG",0.00116050461633558,4.50292219288811,245,27,10,20,0.00284437405964602,"Co_Occurence","FLG, XIRP2","10/47"
"116","AHNAK2","USH2A",0.00119605684055338,4.61794067925551,241,37,10,14,0.0029086985422018,"Co_Occurence","AHNAK2, USH2A","10/51"
"117","XIRP2","SI",0.00123150988867805,5.40312529300066,255,17,8,22,0.0029671871688971,"Co_Occurence","SI, XIRP2","8/39"
"118","AHNAK2","ZFHX4",0.0012463156092703,4.91925750132968,248,30,9,15,0.0029671871688971,"Co_Occurence","AHNAK2, ZFHX4","9/45"
"119","AHNAK2","TP53",0.0012485923606719,4.224905429695,189,89,16,8,0.0029671871688971,"Co_Occurence","AHNAK2, TP53","16/97"
"120","FLG","USH2A",0.00133204294307181,3.65877418303722,231,34,13,24,0.00312106577287699,"Co_Occurence","FLG, USH2A","13/58"
"121","SI","EGFR",0.00133331929817305,0.195562882171958,140,137,4,21,0.00312106577287699,"Mutually_Exclusive","EGFR, SI","4/158"
"122","ANK2","NEB",0.0014095497659434,6.00180690146332,260,15,7,20,0.00327497622198745,"Co_Occurence","ANK2, NEB","7/35"
"123","PCLO","TTN",0.00142462282491989,3.85188919793027,220,53,14,15,0.00328556924566395,"Co_Occurence","PCLO, TTN","14/68"
"124","ZFHX4","TTN",0.0014727198738725,3.27569808060176,213,50,17,22,0.0033716114328583,"Co_Occurence","TTN, ZFHX4","17/72"
"125","KRAS","PCLO",0.00158109624818063,4.63191814345021,249,20,9,24,0.00356745543362056,"Co_Occurence","KRAS, PCLO","9/44"
"126","LRP1B","PCLO",0.00158109624818063,4.63191814345021,249,20,9,24,0.00356745543362056,"Co_Occurence","LRP1B, PCLO","9/44"
"127","PCLO","USH2A",0.00166636960871061,3.99731688287753,237,36,11,18,0.00373290682954888,"Co_Occurence","PCLO, USH2A","11/54"
"128","SI","USH2A",0.00175783986022303,4.29433107905088,240,37,10,15,0.00390978616597648,"Co_Occurence","SI, USH2A","10/52"
"129","TTN","XIRP2",0.00183657430490605,3.59601341652517,219,16,14,53,0.00405603865924481,"Co_Occurence","TTN, XIRP2","14/69"
"130","SPTA1","CSMD1",0.0019025858897594,5.60941413193366,259,16,7,20,0.00414326195505098,"Co_Occurence","CSMD1, SPTA1","7/36"
"131","ANK2","ZNF536",0.0019025858897594,5.60941413193366,259,16,7,20,0.00414326195505098,"Co_Occurence","ANK2, ZNF536","7/36"
"132","MUC16","CTNND2",0.00209765407636087,4.13869411273079,240,16,10,36,0.00453644912707801,"Co_Occurence","CTNND2, MUC16","10/52"
"133","ANK2","FLG",0.00219684809787866,4.37812578922737,247,28,9,18,0.00471831636142326,"Co_Occurence","ANK2, FLG","9/46"
"134","RYR2","TP53",0.00237885516542994,2.74815763136652,176,79,26,21,0.00504363228174809,"Co_Occurence","RYR2, TP53","26/100"
"135","FLG","CSMD3",0.0023830591389702,3.70686618333946,238,27,11,26,0.00504363228174809,"Co_Occurence","CSMD3, FLG","11/53"
"136","ANK2","TP53",0.00239673406028669,3.59554449638538,187,88,17,10,0.00504363228174809,"Co_Occurence","ANK2, TP53","17/98"
"137","TP53","PRDM9",0.00244355017610621,3.9175619030782,189,8,15,90,0.00507381681085178,"Co_Occurence","PRDM9, TP53","15/98"
"138","TP53","ZNF536",0.00244355017610621,3.9175619030782,189,8,15,90,0.00507381681085178,"Co_Occurence","TP53, ZNF536","15/98"
"139","SI","LRP1B",0.00247169753014275,4.7049976530935,252,25,8,17,0.00509838599451889,"Co_Occurence","LRP1B, SI","8/42"
"140","CTNND2","USH2A",0.00251837643919819,4.0110039769178,239,37,10,16,0.00516060745737335,"Co_Occurence","CTNND2, USH2A","10/53"
"141","FAT3","SI",0.00257857642510829,5.23207778491108,258,18,7,19,0.00524954483938985,"Co_Occurence","FAT3, SI","7/37"
"142","NEB","USH2A",0.00260111448837931,4.37760542635161,242,38,9,13,0.0052611539004436,"Co_Occurence","NEB, USH2A","9/51"
"143","LRP1B","EGFR",0.00262981247785118,0.272307402092025,135,134,7,26,0.00528499292172665,"Mutually_Exclusive","EGFR, LRP1B","7/160"
"144","PCLO","ZNF536",0.003020639261017,5.06550394444463,257,16,7,22,0.00603162791736623,"Co_Occurence","PCLO, ZNF536","7/38"
"145","ZFHX4","USH2A",0.00320144529546532,3.34975703133551,229,34,13,26,0.00635207399893914,"Co_Occurence","USH2A, ZFHX4","13/60"
"146","FAT3","CTNND2",0.00332270642680618,4.93944475417414,257,19,7,19,0.0065100047547143,"Co_Occurence","CTNND2, FAT3","7/38"
