"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"60","FAM135B","TP53",1.52642993383609e-05,2.76453337187994,751,695,64,25,6.57943936998315e-05,"Co_Occurence","FAM135B, TP53","64/720"
"61","NF1","PRKDC",1.64714517772966e-05,5.14179550091093,1403,60,13,59,7.00316827266011e-05,"Co_Occurence","NF1, PRKDC","13/119"
"62","RBM10","TP53",1.92324581930391e-05,0.493594284867877,661,699,60,115,8.0673062890265e-05,"Mutually_Exclusive","RBM10, TP53","60/814"
"63","FAT1","FAT3",2.5804311012822e-05,3.65153531345325,1331,133,19,52,0.000106805923066316,"Co_Occurence","FAT1, FAT3","19/185"
"64","KMT2C","LRP1B",3.04762608869669e-05,2.95195267684651,1241,210,28,56,0.000124494529767021,"Co_Occurence","KMT2C, LRP1B","28/266"
"65","CDKN2A","TP53",3.18428945005595e-05,2.86206680850745,755,703,56,21,0.000128398768147418,"Co_Occurence","CDKN2A, TP53","56/724"
"66","FAT1","EGFR",3.46329440396463e-05,0.349873050488444,595,869,24,47,0.000137870000157828,"Mutually_Exclusive","EGFR, FAT1","24/916"
"67","SMARCA4","LRP2",3.90357964947368e-05,3.74982219717893,1361,79,17,78,0.000153442596284343,"Co_Occurence","LRP2, SMARCA4","17/157"
"68","KMT2D","LRP1B",4.77493773276769e-05,3.11707810240544,1252,214,24,45,0.000185362489626075,"Co_Occurence","KMT2D, LRP1B","24/259"
"69","FAT1","SPTA1",4.93115375710712e-05,3.57062113293502,1337,127,18,53,0.000189077981484169,"Co_Occurence","FAT1, SPTA1","18/180"
"70","FAT4","LRP2",5.18214824194063e-05,3.6509630282059,1359,79,17,80,0.000196293494012903,"Co_Occurence","FAT4, LRP2","17/159"
"71","ATM","LRP1B",5.94803654261276e-05,3.04695845198888,1251,214,24,46,0.000222606158031915,"Co_Occurence","ATM, LRP1B","24/260"
"72","ATM","FAT4",6.45450334762679e-05,4.15606254473512,1382,83,14,56,0.00023870204687969,"Co_Occurence","ATM, FAT4","14/139"
